StudentID,StudentName,EnrolledCourses
S001,Ali Raza,CS101;CS128;CS104;CS108;CS124
S002,Fatima Tariq,CS102;CS124;CS100
S003,Hassan Tariq,CS103;CS112;CS106
S004,Hassan Khan,CS113;CS126;CS128;CS100;CS120
S005,Umar Tariq,CS103;CS102;CS121
S006,Hassan Siddiqui,CS108;CS102;CS117
S007,Usman Qureshi,CS129;CS103;CS125
S008,Umar Qureshi,CS111;CS127;CS122;CS119
S009,Ahmed Tariq,CS115;CS105
S010,Umar Khan,CS112;CS102;CS100;CS118
S011,Zainab Tariq,CS110;CS104;CS111
S012,Zainab Qureshi,CS109;CS129
S013,Zainab Tariq,CS118;CS106;CS125;CS111;CS104
S014,Zainab Qureshi,CS125;CS112;CS120;CS121;CS124
S015,Hassan Malik,CS108;CS126
S016,Ayesha Malik,CS117;CS104;CS105;CS122;CS102
S017,Fatima Tariq,CS108;CS119;CS113
S018,Umar Khan,CS123;CS105
S019,Ayesha Qureshi,CS118;CS102
S020,Umar Malik,CS123;CS109;CS105
S021,Ali Sheikh,CS117;CS121;CS103
S022,Hassan Tariq,CS126;CS129;CS109;CS105
S023,Ayesha Siddiqui,CS124;CS107;CS108
S024,Hassan Raza,CS123;CS125;CS129;CS100;CS121
S025,Ahmed Siddiqui,CS115;CS113;CS111;CS120;CS129
S026,Ali Siddiqui,CS108;CS125
S027,Fatima Siddiqui,CS129;CS100
S028,Usman Khan,CS121;CS122
S029,Usman Siddiqui,CS125;CS101;CS127;CS105;CS126
S030,Ayesha Qureshi,CS115;CS101
S001,Usman Qureshi,CS127;CS123;CS100;CS129
S002,Hassan Qureshi,CS117;CS118
S003,Fatima Qureshi,CS121;CS127
S004,Fatima Qureshi,CS105;CS129
S005,Hassan Sheikh,CS124;CS120
S006,Fatima Qureshi,CS122;CS126
S007,Usman Siddiqui,CS109;CS118;CS119;CS100;CS116
S008,Zainab Sheikh,CS104;CS126
S009,Usman Sheikh,CS113;CS104;CS120;CS110
S010,Hassan Tariq,CS118;CS126;CS109;CS122;CS116
S011,Ali Khan,CS104;CS113;CS126;CS126;CS112
S012,Umar Tariq,CS124;CS107;CS128
S013,Ayesha Malik,CS120;CS122;CS116;CS103
S014,Ahmed Sheikh,CS123;CS104
S015,Ali Qureshi,CS114;CS103
S016,Usman Raza,CS115;CS122;CS109;CS106
S017,Ahmed Qureshi,CS103;CS122;CS113
S018,Ali Malik,CS105;CS122
S019,Hassan Siddiqui,CS104;CS102;CS123;CS111
S020,Ayesha Tariq,CS116;CS102
S021,Hassan Tariq,CS123;CS119;CS110
S022,Ahmed Tariq,CS123;CS121;CS108
S023,Ayesha Sheikh,CS103;CS115
S024,Umar Malik,CS126;CS114;CS103;CS114;CS117
S025,Ahmed Raza,CS122;CS126;CS128
S026,Zainab Sheikh,CS126;CS112;CS119;CS115;CS122
S027,Umar Khan,CS100;CS103;CS112
S028,Usman Khan,CS109;CS102;CS115
S029,Ali Raza,CS129;CS119;CS121;CS103;CS125
S030,Fatima Siddiqui,CS110;CS126;CS118;CS118
S001,Fatima Tariq,CS104;CS112;CS120;CS105;CS101
S002,Zainab Raza,CS111;CS105;CS128
S003,Usman Sheikh,CS129;CS115
S004,Zainab Khan,CS111;CS116;CS123;CS100;CS108
S005,Zainab Tariq,CS100;CS101;CS115
S006,Fatima Khan,CS104;CS115;CS128;CS126
S007,Umar Sheikh,CS109;CS128
S008,Zainab Qureshi,CS123;CS118;CS122;CS128
S009,Usman Qureshi,CS121;CS109;CS105;CS107
S010,Zainab Qureshi,CS102;CS108;CS128
S011,Zainab Khan,CS114;CS103
S012,Usman Malik,CS117;CS117;CS112;CS121;CS100
S013,Umar Khan,CS123;CS118;CS124;CS100;CS127
S014,Ahmed Raza,CS120;CS122;CS103;CS101
S015,Zainab Khan,CS116;CS103;CS127;CS120;CS120
S016,Ahmed Siddiqui,CS106;CS116;CS104
S017,Ayesha Khan,CS111;CS102;CS119;CS111;CS112
S018,Ahmed Qureshi,CS117;CS112;CS127
S019,Ahmed Sheikh,CS108;CS116;CS113
S020,Hassan Malik,CS111;CS108;CS129
S021,Umar Sheikh,CS119;CS117;CS116;CS113
S022,Zainab Raza,CS108;CS108;CS101;CS111
S023,Usman Sheikh,CS113;CS124
S024,Zainab Tariq,CS111;CS118;CS113
S025,Ali Siddiqui,CS119;CS116;CS115;CS117;CS106
S026,Hassan Khan,CS116;CS112
S027,Ayesha Malik,CS103;CS106;CS105;CS118;CS109
S028,Ali Raza,CS108;CS119;CS106;CS120;CS102
S029,Fatima Sheikh,CS117;CS105;CS100;CS127
S030,Hassan Tariq,CS106;CS115;CS101;CS111;CS124
S001,Ayesha Khan,CS101;CS107;CS117
S002,Umar Malik,CS125;CS105
S003,Fatima Sheikh,CS100;CS102;CS127;CS107
S004,Usman Raza,CS105;CS123;CS100
S005,Usman Khan,CS100;CS129;CS117;CS117
S006,Usman Khan,CS122;CS122;CS126;CS125;CS117
S007,Umar Qureshi,CS104;CS100;CS108;CS113
S008,Umar Qureshi,CS120;CS102;CS112
S009,Hassan Khan,CS105;CS125;CS117
S010,Umar Khan,CS103;CS112
S011,Ahmed Khan,CS103;CS119;CS110
S012,Fatima Siddiqui,CS108;CS103;CS128;CS117;CS113
S013,Ahmed Raza,CS109;CS129;CS117;CS109
S014,Usman Sheikh,CS112;CS122;CS110
S015,Zainab Khan,CS111;CS104
S016,Ayesha Sheikh,CS119;CS101;CS124;CS112;CS123
S017,Fatima Sheikh,CS120;CS127
S018,Umar Malik,CS124;CS110;CS109
S019,Zainab Siddiqui,CS111;CS118;CS128;CS129;CS102
S020,Ali Khan,CS123;CS111;CS126;CS118;CS127
S021,Hassan Khan,CS127;CS108;CS129;CS111;CS115
S022,Zainab Malik,CS103;CS129;CS125
S023,Zainab Malik,CS111;CS111;CS128
S024,Usman Malik,CS122;CS111
S025,Usman Khan,CS101;CS128
S026,Ahmed Siddiqui,CS103;CS129;CS115;CS110;CS126
S027,Zainab Sheikh,CS118;CS113;CS123;CS109
S028,Fatima Tariq,CS103;CS118;CS116;CS121
S029,Umar Khan,CS123;CS117;CS102
S030,Ahmed Raza,CS127;CS122;CS102;CS122;CS105
S001,Zainab Sheikh,CS109;CS111;CS119;CS104;CS106
S002,Zainab Tariq,CS127;CS129;CS129;CS107
S003,Ayesha Malik,CS128;CS115
S004,Fatima Malik,CS101;CS106;CS105;CS121;CS125
S005,Usman Raza,CS107;CS107
S006,Umar Qureshi,CS123;CS109;CS125;CS121
S007,Zainab Tariq,CS103;CS124;CS127;CS119
S008,Umar Siddiqui,CS115;CS118;CS126;CS127
S009,Ahmed Sheikh,CS122;CS111
S010,Umar Tariq,CS112;CS111;CS123;CS109
S011,Ayesha Siddiqui,CS121;CS112;CS105;CS111;CS120
S012,Zainab Malik,CS117;CS106;CS112;CS117;CS119
S013,Ali Malik,CS121;CS126;CS117;CS119
S014,Hassan Sheikh,CS114;CS127;CS121;CS115;CS100
S015,Usman Malik,CS106;CS107;CS124
S016,Hassan Siddiqui,CS110;CS121
S017,Hassan Raza,CS101;CS115;CS102;CS129
S018,Fatima Siddiqui,CS113;CS112;CS125;CS117;CS125
S019,Hassan Tariq,CS104;CS104
S020,Umar Qureshi,CS126;CS112;CS107;CS106;CS129
S021,Ahmed Tariq,CS127;CS127;CS101;CS125;CS111
S022,Usman Qureshi,CS100;CS125;CS112;CS109;CS117
S023,Ahmed Siddiqui,CS112;CS105;CS100;CS118;CS113
S024,Ahmed Siddiqui,CS108;CS102;CS104;CS126;CS105
S025,Ayesha Khan,CS102;CS129;CS126
S026,Zainab Qureshi,CS115;CS106
S027,Fatima Malik,CS120;CS101;CS124
S028,Hassan Khan,CS115;CS102;CS106;CS114;CS117
S029,Ali Sheikh,CS104;CS123;CS114;CS119
S030,Fatima Qureshi,CS100;CS125;CS127;CS119
S001,Ayesha Qureshi,CS101;CS112;CS103;CS108;CS115
S002,Ali Sheikh,CS116;CS112;CS109;CS100;CS110
S003,Fatima Malik,CS129;CS123;CS101;CS129;CS110
S004,Umar Khan,CS110;CS102
S005,Usman Tariq,CS124;CS115;CS127;CS116;CS125
S006,Ahmed Malik,CS105;CS103;CS117
S007,Umar Raza,CS129;CS100;CS116
S008,Ali Khan,CS113;CS123;CS126;CS107;CS126
S009,Ayesha Siddiqui,CS125;CS108;CS127;CS115;CS118
S010,Zainab Sheikh,CS105;CS118
S011,Ayesha Tariq,CS108;CS107;CS101
S012,Ayesha Siddiqui,CS114;CS129;CS127;CS120
S013,Zainab Qureshi,CS123;CS123;CS128;CS120;CS123
S014,Ali Tariq,CS105;CS108;CS129
S015,Hassan Qureshi,CS129;CS126;CS110;CS128
S016,Umar Malik,CS119;CS117;CS118
S017,Zainab Tariq,CS122;CS111;CS119
S018,Zainab Tariq,CS105;CS124;CS117
S019,Hassan Malik,CS115;CS107;CS123
S020,Hassan Sheikh,CS116;CS104
S021,Usman Malik,CS111;CS116;CS121;CS104;CS129
S022,Fatima Raza,CS103;CS126;CS116;CS129
S023,Zainab Raza,CS102;CS114;CS103;CS102
S024,Umar Sheikh,CS124;CS120;CS109;CS127;CS129
S025,Ali Qureshi,CS104;CS100
S026,Ahmed Sheikh,CS122;CS105;CS107
S027,Zainab Qureshi,CS115;CS103;CS122;CS108
S028,Hassan Khan,CS110;CS116;CS107
S029,Ali Sheikh,CS102;CS114;CS108;CS110;CS100
S030,Ali Sheikh,CS119;CS101;CS102
S001,Ali Khan,CS103;CS120;CS119;CS115
S002,Ali Sheikh,CS104;CS111
S003,Ali Khan,CS117;CS116
S004,Fatima Sheikh,CS126;CS121;CS116
S005,Usman Khan,CS106;CS109
S006,Zainab Siddiqui,CS101;CS124
S007,Usman Khan,CS104;CS127
S008,Umar Malik,CS101;CS108;CS125
S009,Ayesha Qureshi,CS128;CS104
S010,Zainab Raza,CS103;CS115;CS113;CS127
S011,Ayesha Khan,CS119;CS125;CS122;CS106
S012,Hassan Tariq,CS116;CS118;CS101;CS126
S013,Ahmed Sheikh,CS114;CS124;CS129
S014,Ayesha Siddiqui,CS104;CS122;CS119
S015,Ayesha Qureshi,CS108;CS125;CS105
S016,Hassan Malik,CS127;CS109
S017,Ayesha Malik,CS110;CS113
S018,Ahmed Tariq,CS108;CS104;CS113;CS124
S019,Ayesha Qureshi,CS103;CS105
S020,Ayesha Siddiqui,CS120;CS122;CS122;CS114
S021,Fatima Sheikh,CS125;CS120;CS100;CS120;CS129
S022,Ayesha Siddiqui,CS125;CS111;CS109;CS104;CS113
S023,Ali Malik,CS103;CS110;CS116
S024,Umar Malik,CS118;CS122;CS128;CS122
S025,Usman Siddiqui,CS107;CS116;CS104;CS122;CS128
S026,Umar Malik,CS113;CS112;CS100
S027,Ali Tariq,CS116;CS127;CS110
S028,Ahmed Raza,CS114;CS104;CS127
S029,Fatima Qureshi,CS113;CS106;CS120;CS101;CS122
S030,Ali Qureshi,CS124;CS128
S001,Hassan Qureshi,CS122;CS123
S002,Ahmed Tariq,CS117;CS102;CS112;CS110
